1400
174,86400
58,200,1000,-1399.9986000001,1999.9991999996,41
59,200,1000,-1599.9984000004,1999.9991999996,35
60,200,1000,-1799.9982000003,1999.9991999996,49
61,200,1000,-1999.9980000002,1999.9991999996,101
62,200,1000,-2199.9978000001,1999.9991999996,16
63,200,1000,-2399.9976000003,1999.9991999996,112
64,200,1000,-2599.9974000002,1999.9991999996,54
65,200,1000,-2799.9972000001,1999.9991999996,76
66,200,1000,-2999.997,1999.9991999996,76
67,200,1000,-3199.9968000003,1999.9991999996,84
68,200,1000,-3399.9966000002,1999.9991999996,112
69,200,1000,-3599.9964000001,1999.9991999996,113
70,200,1000,-3799.9962,1999.9991999996,113
71,200,1000,-3999.9960000003,1999.9991999996,113
72,200,1000,-4199.9958000002,1999.9991999996,113
73,200,1000,-4399.9956000001,1999.9991999996,113
74,200,1000,-4599.9954,1999.9991999996,103
75,200,1000,-4799.9952000003,1999.9991999996,94
76,200,1000,-4999.9950000002,1999.9991999996,57
77,200,1000,-5199.9948000001,1999.9991999996,16
78,200,1000,-5599.9944000003,1999.9991999996,14
79,200,1000,-3999.9960000003,2999.9987999994,18
80,200,1000,-4199.9958000002,2999.9987999994,54
81,200,1000,-4399.9956000001,2999.9987999994,73
82,200,1000,-4599.9954,2999.9987999994,103
83,200,1000,-4799.9952000003,2999.9987999994,113
84,200,1000,-4999.9950000002,2999.9987999994,113
85,200,1000,-5199.9948000001,2999.9987999994,113
86,200,1000,-5399.9946,2999.9987999994,107
87,200,1000,-5599.9944000003,2999.9987999994,65
88,200,1000,-5799.9942000002,2999.9987999994,46
89,200,1000,-5999.9940000001,2999.9987999994,16
90,200,1000,-6299.9937000001,2999.9987999994,7
91,200,1000,-4999.9950000002,3999.9983999992,16
92,200,1000,-5199.9948000001,3999.9983999992,68
93,200,1000,-5399.9946,3999.9983999992,107
94,200,1000,-5599.9944000003,3999.9983999992,113
95,200,1000,-5799.9942000002,3999.9983999992,55
96,200,1000,-5999.9940000001,3999.9983999992,87
97,200,1000,-6199.9938,3999.9983999992,48
98,200,1000,-6399.9936000003,3999.9983999992,20
99,200,1000,-6599.9934000002,3999.9983999992,25
100,200,1000,-4499.9955000003,4999.9980000003,43
101,200,1000,-4699.9953000002,4999.9980000003,70
102,200,1000,-4899.9951000001,4999.9980000003,59
103,200,1000,-5099.9949000003,4999.9980000003,62
104,200,1000,-5299.9947000002,4999.9980000003,100
105,200,1000,-5499.9945000001,4999.9980000003,109
106,200,1000,-5699.9943,4999.9980000003,113
107,200,1000,-5899.9941000003,4999.9980000003,107
108,200,1000,-6099.9939000002,4999.9980000003,58
109,200,1000,-7799.9922000003,4999.9980000003,27
110,200,1000,-7999.9920000002,4999.9980000003,33
111,200,1000,-4999.9950000002,5999.9976000001,31
112,200,1000,-5199.9948000001,5999.9976000001,54
113,200,1000,-5399.9946,5999.9976000001,91
114,200,1000,-5599.9944000003,5999.9976000001,111
115,200,1000,-5799.9942000002,5999.9976000001,113
116,200,1000,-5999.9940000001,5999.9976000001,113
117,200,1000,-6199.9938,5999.9976000001,77
118,200,1000,-6399.9936000003,5999.9976000001,12
119,200,1000,-8899.9911000004,5999.9976000001,3
120,200,1000,-9599.9904000002,5999.9976000001,12
121,200,1000,-9799.9902000001,5999.9976000001,11
122,200,1000,-5699.9943,6999.9971999999,18
123,200,1000,-5899.9941000003,6999.9971999999,75
124,200,1000,-6099.9939000002,6999.9971999999,109
125,200,1000,-6299.9937000001,6999.9971999999,113
126,200,1000,-6499.9935,6999.9971999999,113
127,200,1000,-6699.9933000003,6999.9971999999,100
128,200,1000,-6899.9931000002,6999.9971999999,30
129,200,1000,-4699.9953000002,7999.9967999997,7
130,200,1000,-5099.9949000003,7999.9967999997,10
131,200,1000,-5299.9947000002,7999.9967999997,16
132,200,1000,-5499.9945000001,7999.9967999997,20
133,200,1000,-5699.9943,7999.9967999997,31
134,200,1000,-5899.9941000003,7999.9967999997,47
135,200,1000,-6099.9939000002,7999.9967999997,27
136,200,1000,-6299.9937000001,7999.9967999997,77
137,200,1000,-6499.9935,7999.9967999997,63
138,200,1000,-6699.9933000003,7999.9967999997,74
139,200,1000,-6899.9931000002,7999.9967999997,112
140,200,1000,-7099.9929000001,7999.9967999997,113
141,200,1000,-7299.9927,7999.9967999997,104
142,200,1000,-7499.9925000003,7999.9967999997,60
143,200,1000,-7699.9923000002,7999.9967999997,73
144,200,1000,-7899.9921000001,7999.9967999997,59
145,200,1000,-8099.9919,7999.9967999997,6
146,200,1000,-6399.9936000003,8999.9963999995,5
147,200,1000,-6599.9934000002,8999.9963999995,52
148,200,1000,-7099.9929000001,8999.9963999995,87
149,200,1000,-7299.9927,8999.9963999995,113
150,200,1000,-7499.9925000003,8999.9963999995,108
151,200,1000,-7699.9923000002,8999.9963999995,15
152,200,1000,-6999.9930000004,9999.9959999992,14
153,200,1000,-7199.9928000003,9999.9959999992,86
154,200,1000,-7399.9926000002,9999.9959999992,113
155,200,1000,-7599.9924,9999.9959999992,113
156,200,1000,-7799.9922000003,9999.9959999992,58
157,200,1000,-7199.9928000003,10999.9956,101
158,200,1000,-7399.9926000002,10999.9956,113
159,200,1000,-7599.9924,10999.9956,109
160,200,1000,-7799.9922000003,10999.9956,75
